fish,treatment,tissue,ash,total nitrogen,crude protein,crude fat,P,K,Ca,Mg,Zn,Cu,Mn,Fe,S,Na
37,PELL,wf,17.2,10.65,66.5625,13.82,30901.7,12685.8,49289.1,1575.8,55.964,2.631,36.405,39.161,6570.5,5269.24
38,PELL,wf,12.5,10.58,66.125,13.69,19822.1,11447.9,32219.8,1242.8,43.593,1.354,24.268,23.588,5939.5,4479.52
39,PELL,wf,14.5,11.38,71.125,12.1,23466.1,12320.6,40761.3,1387.3,46.915,1.745,28.871,32.156,6486.7,5624.04
40,PELL,wf,16.8,11.18,69.875,10.22,27727.2,12554.7,45503.3,1572.2,50.284,1.565,34.007,28.598,6521.8,5405
41,FSHSQ,f,6.8,13.58,84.875,2.13,10391.3,19438.7,2615.9,1443,20.143,1.418,0.969,25.814,12274.3,6282.87
42,FSHSQ,f,6.2,13.69,85.5625,0.75,9763.1,18872.6,2202.6,1328.5,16.753,1.103,1.1,15.053,11171.6,4338.69
43,FSHSQ,f,6.7,14.26,89.125,0.32,10770.9,20882,2111.6,1490.1,19.299,1.41,0.738,11.706,12425.8,4477.45
44,FSHSQ,f,6.7,14.03,87.6875,0.65,11685.5,22217,2838.8,1586.1,19.769,1.251,0.953,14.892,13055.9,5642.31
45,FSHSQ,f,6.8,14.27,89.1875,0.59,9364.2,18780.1,1444.8,1351.3,16.358,1.03,0.689,11.052,11362.8,5683.25
46,FSH,f,6.3,14.35,89.6875,0.96,9452,18600.1,1668,1320.7,17.757,1.277,0.815,12.958,9361.7,3067.67
47,FSH,f,6.9,14.6,91.25,2.65,10866.3,20790.7,2152.8,1463.8,20.641,1.415,0.789,15.194,10349.9,5340.76
48,FSH,f,6.6,14.16,88.5,0.22,11137.5,22049,2080.5,1447.9,20.148,1.565,0.862,28.929,10435.7,4303.45
49,FSH,f,6.8,14.33,89.5625,0.62,11074.6,21544.2,2772.6,1477,19.239,1.289,1.069,12.396,10171.2,4685.6
50,FSH,f,6.4,14.1,88.125,0.74,11011.6,21369.9,2295.4,1446.9,19.022,1.745,0.809,11.108,10219.6,5088.54
51,FSQ,f,6.6,13.74,85.875,0.11,10525.8,20669.8,1888.3,1494.5,18.247,1.146,0.688,9.79,13465.1,5259.39
52,FSQ,f,6.5,13.98,87.375,1.47,10005.2,19590.6,1916.1,1358.1,21.916,1.268,0.717,12.303,12406.9,4552.58
53,FSQ,f,6.5,13.9,86.875,1.31,10255.1,19927.6,1475.1,1347.4,18.363,1.383,0.673,13.38,11639.4,3639.24
54,FSQ,f,7,14.05,87.8125,1.07,10847.4,21240.7,2260.6,1430.2,19.487,1.19,0.687,10.451,13146,6249.49
55,FSQ,f,6.7,13.86,86.625,1.34,10808.8,20710.7,2259.3,1420.8,19.27,1.33,0.87,12.399,12475.8,4930.3
56,SHSQ,f,6.7,14.01,87.5625,1.29,11103,21483.1,2171.1,1490.4,21.171,1.525,0.847,14.806,12995.1,5673.28
57,SHSQ,f,7,14.11,88.1875,1.16,9937.4,19301,1646.6,1424.4,20.413,1.565,0.88,11.93,12821.9,7560.18
58,SHSQ,f,7,13.5,84.375,0.91,9033.8,16482.7,1746.9,1241.8,18.163,1.526,0.972,8.135,11143.7,5999.44
59,SHSQ,f,6.6,13.87,86.6875,0.81,9111.8,18398.9,1522.6,1271.7,17.236,1.182,0.78,13.033,11481.1,4407.24
60,SHSQ,f,6.2,13.37,83.5625,1.72,10528,21235.5,1141.1,1494.3,18.649,1.27,0.856,9.244,13142.2,4928.49
61,F,f,6.6,14.34,89.625,0.74,10389,20434,1835.9,1390.4,21.899,1.222,0.545,10.489,11595.3,6244.09
62,F,f,6.3,14.42,90.125,1.58,10982.5,21172.9,2010.1,1470.3,19.976,1.204,0.694,14.169,11668.7,4891.7
63,F,f,6.2,14.43,90.1875,1.03,10244.8,20201.9,1419,1389.2,20.347,1.189,0.503,10.173,11165.4,4197.97
64,F,f,6,14.26,89.125,0.82,10523.6,20490.6,1931.9,1359.2,19.52,1.335,0.558,11.923,11076.4,3935.45
65,F,f,6.1,14.11,88.1875,2.25,10261.3,19915.4,3686.3,1412.9,39.777,3.757,19.811,76.092,10663.9,3588.49
66,SH,f,6.2,13.42,83.875,1.48,9821.9,18577.2,1941.6,1401.7,20.53,1.336,1.795,13.892,8885.5,5212.46
67,SH,f,6.5,,,1.6,10748.3,20329.8,2406.6,1474,19.688,1.238,1.463,18.899,9515.6,4629.74
68,SH,f,6.4,14,87.5,1.46,10859.1,20865.3,1878.2,1493.4,20.795,1.417,1.085,11.369,9764.9,5117.89
69,SH,f,6.7,14.53,90.8125,1.39,11299.8,21772.2,1610.1,1579.9,22.983,2.274,1.391,14.463,10357.1,5063.18
70,SH,f,6.3,13.94,87.125,1.88,10231,19823.9,1612.1,1445,21.348,2.278,1.976,21.824,9694.8,4108.45
71,SQ,f,5.8,,,1.15,9981.8,19928.3,726.1,1330.5,19.276,1.423,0.942,10.845,13328.9,3906.97
72,SQ,f,6.1,13.92,87,1.41,11505.9,22366.5,1912.5,1564.2,22.615,1.545,1.093,11.011,15131.7,4653.39
73,SQ,f,6.3,13.81,86.3125,0.74,9401.9,18714.5,720.6,1311.4,17.486,1.274,0.527,8.427,12964.6,5920.89
74,SQ,f,7,13.6,85,1.02,10724.3,20311.9,2223.9,1391.4,19.817,1.939,1.378,13.556,13056.8,5472.46
75,SQ,f,6.6,14.09,88.0625,1.15,9362.3,17479.3,1504.2,1257.2,17.692,2.101,1.643,11.843,11755.8,4367.67
76,PELL,f,6.2,,,2.37,11109.5,20204.2,2467.6,1503.1,27.448,1.683,3.252,12.426,9235.9,6593.6
77,PELL,f,6.2,13.94,87.125,2.03,9738.1,18412.4,1706.1,1304.3,23.899,1.555,2.487,10.754,8222.4,4530.38
78,PELL,f,5.7,14.22,88.875,3.53,9754.2,18265,1540.6,1334.5,22.917,1.389,1.873,8.512,8531.6,3598.57
79,PELL,f,6.1,13.82,86.375,4.72,9768.6,16991.4,1931.4,1218.5,21.769,1.649,2.97,8.406,7705.5,3778.2
80,PELL,f,6.2,14.2,88.75,2.78,9852.2,18876.2,1322.1,1335.8,21.196,1.409,2.305,8.249,8244.7,4534.74
